episode,win_rate
50,0.19
100,0.18
150,0.21
200,0.18
250,0.17
300,0.24
350,0.14
400,0.21
450,0.16
500,0.11
550,0.14
600,0.09
650,0.12
700,0.27
750,0.18
800,0.2
850,0.18
900,0.25
950,0.17
1000,0.15
1050,0.21
1100,0.13
1150,0.22
1200,0.11
1250,0.12
1300,0.17
1350,0.11
1400,0.21
1450,0.21
1500,0.24
1550,0.16
1600,0.11
1650,0.2
1700,0.08
1750,0.16
1800,0.12
1850,0.18
1900,0.1
1950,0.16
2000,0.16
2050,0.17
2100,0.17
2150,0.16
2200,0.2
2250,0.23
2300,0.25
2350,0.14
2400,0.22
2450,0.2
2500,0.25
2550,0.16
2600,0.23
2650,0.11
2700,0.13
2750,0.17
2800,0.21
2850,0.19
2900,0.2
2950,0.21
3000,0.2
3050,0.17
3100,0.16
3150,0.18
3200,0.22
3250,0.11
3300,0.15
3350,0.22
3400,0.13
3450,0.18
3500,0.14
3550,0.18
3600,0.13
3650,0.09
3700,0.18
3750,0.13
3800,0.16
3850,0.2
3900,0.18
3950,0.2
4000,0.17
4050,0.19
4100,0.16
4150,0.18
4200,0.1
4250,0.18
4300,0.12
4350,0.2
4400,0.13
4450,0.16
4500,0.21
4550,0.14
4600,0.21
4650,0.19
4700,0.19
4750,0.22
4800,0.26
4850,0.2
4900,0.16
4950,0.16
5000,0.13
5050,0.11
5100,0.18
5150,0.19
5200,0.18
5250,0.17
5300,0.15
5350,0.23
5400,0.21
5450,0.17
5500,0.22
5550,0.17
5600,0.16
5650,0.16
5700,0.21
5750,0.24
5800,0.2
5850,0.15
5900,0.19
5950,0.3
6000,0.14
6050,0.2
6100,0.23
6150,0.2
6200,0.19
6250,0.23
6300,0.19
6350,0.26
6400,0.18
6450,0.2
6500,0.2
6550,0.18
6600,0.25
6650,0.12
6700,0.15
6750,0.23
6800,0.3
6850,0.14
6900,0.2
6950,0.13
7000,0.2
7050,0.26
7100,0.26
7150,0.23
7200,0.18
7250,0.16
7300,0.24
7350,0.26
7400,0.2
7450,0.26
7500,0.23
7550,0.21
7600,0.13
7650,0.13
7700,0.19
7750,0.2
7800,0.18
7850,0.14
7900,0.26
7950,0.18
8000,0.22
8050,0.21
8100,0.22
8150,0.31
8200,0.25
8250,0.19
8300,0.21
8350,0.16
8400,0.22
8450,0.25
8500,0.23
8550,0.27
8600,0.31
8650,0.15
8700,0.22
8750,0.25
8800,0.26
8850,0.18
8900,0.22
8950,0.26
9000,0.21
9050,0.23
9100,0.25
9150,0.22
9200,0.18
9250,0.28
9300,0.16
9350,0.23
9400,0.25
9450,0.2
9500,0.25
9550,0.23
9600,0.24
9650,0.26
9700,0.23
9750,0.23
9800,0.21
9850,0.14
9900,0.25
9950,0.22
10000,0.2
